Full Name,Date of Birth,Date of Death,Nationality,Home City,Occupation,Employer
Amy Harris,04/13/1938,,Peru,Masma,Research Nurse,"Metz, Pagac and Watsica"
Amy Harrison,05/13/1940,,Philippines,Prinza,Automation Specialist II,Smith-Barrows
Amy Harvey,07/11/1975,,Tajikistan,Kolkhozobod,Senior Developer,Bashirian and Sons
Amy Hawkins,09/25/1926,10/27/2002,Philippines,Cabiao,Recruiting Manager,"Emard, McCullough and Cole"
Amy Hayes,07/05/1942,,China,Hejia,Design Engineer,"Cronin, Yundt and Christiansen"
Amy Henderson,01/05/1945,,Poland,Sosnowiec,Systems Administrator IV,Schinner Group
Amy Henry,12/05/1949,01/25/2015,Philippines,Sumisip,Assistant Manager,"Huels, Heathcote and Smith"
Amy Hernandez,01/30/1935,,Bolivia,Mojocoya,Executive Secretary,Champlin-Barton
Amy Hicks,04/07/1977,,France,Mougins,Accountant IV,Kozey-Hilpert
Amy Hill,10/20/1928,,Indonesia,Salem,Office Assistant II,"Zboncak, Jones and Kunde"
Amy Holmes,07/24/1977,,Colombia,Murillo,Automation Specialist IV,"Schowalter, Senger and Ondricka"
Amy Howard,10/20/1953,,Angola,Huambo,Nurse,"Haag, Ortiz and Lind"
Amy Howell,06/13/1917,,Canada,Marieville,Paralegal,Daugherty-Dickinson
Amy Hunter,07/06/1925,10/24/1995,Portugal,Soure,Office Assistant IV,Batz Inc
Amy Jackson,09/26/1952,02/10/2000,Norway,Stavanger,Registered Nurse,Batz Group
Amy Jacobs,12/23/1981,,Indonesia,Ranisoba,Physical Therapy Assistant,Cummerata LLC
Amy James,01/06/1957,,Ukraine,Bohorodchany,Tax Accountant,Nicolas-Schiller
Amy Jenkins,10/09/1926,,Vietnam,Ninh Giang,Actuary,Fadel and Sons
Amy Johnston,06/01/1943,,Latvia,Zilupe,Operator,"Ziemann, Smith and Crooks"
Amy Jones,07/18/1944,,Finland,Liljendal,Research Associate,"Jones, Osinski and Lesch"
Amy Jordan,01/07/1970,07/25/2002,China,Tufang,Account Executive,Paucek and Sons
Amy Kelley,09/22/1928,,China,Changhua,Operator,Hoeger and Sons
Amy Kelly,11/07/1955,,Serbia,Smederevo,Safety Technician III,"Powlowski, Hane and O'Connell"
Amy Kennedy,02/07/1974,,China,Huyunxiang,Chemical Engineer,Langosh and Sons
Amy King,02/05/1919,,Syria,KhÄÅn ShaykhÅ«n,Senior Editor,Green-Ortiz
Amy Knight,09/03/1975,,Russia,Ushumun,Product Engineer,Kerluke LLC
Amy Larson,05/06/1969,,France,Troyes,Administrative Officer,Dicki and Sons
Amy Lawrence,11/19/1921,,Croatia,Buje,Account Coordinator,Considine-Legros
Amy Lawson,04/18/1947,,Russia,Gorbatovka,Web Developer II,Renner-Monahan
Amy Lee,01/30/1971,,France,Le Puy-en-Velay,Biostatistician II,Murray Inc
Amy Lewis,07/15/1967,,Sweden,Nora,Environmental Tech,Maggio-Bailey
Amy Long,10/21/1936,,China,Wushan,Senior Sales Associate,"McKenzie, Nitzsche and Kihn"
Amy Lopez,06/10/1935,08/20/2010,Uganda,Katakwi,Biostatistician IV,Kiehn-Bartell
Amy Lynch,03/13/1963,,Brazil,Esteio,Recruiting Manager,Koss-Runte
Amy Marshall,07/22/1957,,China,Nanxindian,GIS Technical Architect,Reinger-Collier
Amy Martin,09/15/1929,,Sweden,BÃ¥lsta,Director of Sales,Hoeger Group
Amy Martinez,04/20/1931,,New Zealand,Waipawa,Chief Design Engineer,Maggio-Lakin
Amy Mason,11/21/1963,,Syria,BadÄÅmÄÅ,Information Systems Manager,"O'Reilly, D'Amore and Marks"
Amy Mccoy,05/31/1983,,Brazil,Paragominas,Nurse,Deckow and Sons
Amy Mcdonald,11/10/1967,,France,Rennes,Budget/Accounting Analyst III,Hudson-Monahan
Amy Medina,07/04/1986,,Indonesia,Aegela,Health Coach II,Rath Group
Amy Meyer,11/14/1953,,United States,Newport Beach,Database Administrator IV,Osinski-Eichmann
Amy Miller,07/03/1923,,Albania,Shirgjan,Analog Circuit Design manager,"Cartwright, O'Hara and Ritchie"
Amy Mills,06/05/1956,,Indonesia,Nangewer,Social Worker,Willms LLC
Amy Mitchell,10/01/1942,,United Kingdom,Walton,Sales Associate,Cartwright-Gislason
Amy Montgomery,02/20/1988,,Russia,Yelizavetinskoye,Legal Assistant,"Grimes, Nitzsche and Schuster"
Amy Moore,06/16/1982,,Ukraine,Bashtanka,Payment Adjustment Coordinator,Wisozk-Gibson
Amy Morales,10/17/1925,,Kazakhstan,Burunday,Research Associate,Kerluke LLC
Amy Moreno,09/07/1927,,Venezuela,Puerto La Cruz,Design Engineer,O'Kon LLC
Amy Morgan,04/11/1936,,Cuba,BahÃ_a Honda,Biostatistician III,"Jacobson, McGlynn and Roberts"
Amy Morris,09/22/1939,,Indonesia,Timba Lauk,Marketing Assistant,"Fadel, Erdman and Barton"
Amy Morrison,12/19/1935,,Czech Republic,VsetÃ_n,Technical Writer,"Langworth, Kub and Schowalter"
Amy Murphy,07/06/1927,,Indonesia,Cimanggu Girang,Office Assistant III,"Ratke, Larkin and Reilly"
Amy Murray,02/24/1917,,United States,Boca Raton,Nurse Practicioner,Davis-Walsh
Amy Myers,03/17/1941,,China,Wuyang,VP Marketing,Gleason-Luettgen
Amy Nelson,03/22/1943,,China,Zhongpai,Research Assistant I,"Kerluke, Gorczany and Connelly"
Amy Nguyen,10/30/1969,,Indonesia,Oenaik,Internal Auditor,Pagac-Champlin
Amy Oliver,09/05/1925,,Russia,Inya,Analog Circuit Design manager,"Oberbrunner, Ullrich and Volkman"
Amy Olson,01/30/1929,,Indonesia,Wailebe,Structural Engineer,"Adams, Heathcote and Nienow"
Amy Ortiz,12/29/1963,,New Zealand,Kerikeri,Nuclear Power Engineer,Halvorson LLC
Amy Owens,09/15/1988,,Mongolia,Altay sumu,Automation Specialist III,Muller Inc
Amy Palmer,06/16/1945,,United States,Detroit,Speech Pathologist,"Wuckert, Wuckert and Rosenbaum"
Amy Parker,06/05/1976,,China,Shaba,Software Test Engineer I,Purdy and Sons
Amy Patterson,01/25/1961,,Uruguay,Treinta y Tres,Civil Engineer,Wiegand-Dickinson
Amy Payne,08/31/1947,,France,Saint-Dizier,Assistant Media Planner,Rath and Sons
Amy Perez,07/29/1917,,Poland,GieraÅ‚towice,Quality Engineer,"Strosin, Eichmann and Ullrich"
Amy Perkins,04/19/1981,,Brazil,BraganÃ§a Paulista,Research Assistant I,Zemlak Group
Amy Perry,02/29/1976,,Brazil,VÃ¡rzea Grande,Compensation Analyst,Hartmann-Marvin
Amy Peters,01/10/1918,,Portugal,Vagos,VP Sales,Nienow-Raynor
Amy Peterson,04/25/1918,05/08/2010,United States,Albuquerque,Account Coordinator,Jacobs LLC
Amy Phillips,06/13/1924,,Laos,Phonsavan,Research Associate,Gerhold-Bradtke
Amy Powell,07/19/1962,,Indonesia,Suwaduk,Information Systems Manager,"Brown, Price and Weber"
Amy Price,03/12/1980,,China,Tiebukenwusan,Dental Hygienist,"O'Connell, Heaney and Reichert"
Amy Ramirez,09/08/1926,,Argentina,Libertador General San MartÃ_n,Registered Nurse,Koch Group
Amy Ramos,08/30/1936,,Philippines,Lunas,Senior Developer,Schiller and Sons
Amy Reed,11/06/1929,02/07/2012,Germany,Essen,Data Coordiator,Swift LLC
Amy Reid,06/21/1969,,China,Fuxing,Electrical Engineer,Mitchell-Douglas
Amy Reyes,07/04/1938,,Indonesia,Kertasari,Business Systems Development Analyst,"Kassulke, McLaughlin and Nolan"
Amy Reynolds,07/20/1960,,Indonesia,Riangkroko,Recruiter,"Hartmann, Roberts and Jast"
Amy Rice,11/02/1973,,China,Shanghuang,Engineer III,Funk-Witting
Amy Richardson,03/06/1965,,Philippines,Valencia,Health Coach IV,Zieme-Goldner
Amy Riley,11/11/1935,,United States,Dallas,Executive Secretary,Abernathy Group
Amy Rivera,10/08/1937,,Pakistan,Shorko,Civil Engineer,"Wiegand, Kilback and Bartoletti"
Amy Roberts,07/27/1926,,France,Le Cannet,Recruiting Manager,Hayes Inc
Amy Robertson,03/18/1917,,Russia,Nyandoma,Accounting Assistant IV,McKenzie and Sons
Amy Robinson,09/09/1929,,China,Wujing,Nurse Practicioner,Schmitt-Kuhn
Amy Rodriguez,08/15/1948,,Indonesia,Lebak,Civil Engineer,Huel Inc
Amy Rogers,04/19/1939,,China,Nanlin,Pharmacist,"Franecki, Weimann and Sporer"
Amy Romero,04/20/1928,,Luxembourg,Lamadelaine,Civil Engineer,"Halvorson, Willms and Lebsack"
Amy Rose,02/08/1927,,Germany,Hamburg,Technical Writer,Hyatt-Considine
Amy Ross,11/14/1967,,Philippines,Solo,Food Chemist,Herman Group
Amy Ruiz,04/06/1938,,Czech Republic,ÄŒernovice,Systems Administrator IV,"Muller, Turcotte and Lemke"
Amy Russell,03/18/1940,,Japan,Kitsuki,Registered Nurse,"Rohan, Feeney and Howe"
Amy Ryan,10/22/1980,,China,Taihe,Engineer I,"Legros, Lehner and Grimes"
Amy Sanchez,11/17/1955,,Greece,AmbelÃ_kipoi,Accountant IV,Abbott-Herzog
Amy Sanders,12/26/1953,,Guatemala,PatzicÃ_a,General Manager,Streich-Hoeger
Amy Schmidt,08/17/1927,,Czech Republic,VranÃ© nad Vltavou,Chemical Engineer,"Zieme, Rodriguez and Mertz"
Amy Scott,04/06/1953,02/19/2015,Japan,Akashi,Junior Executive,"Okuneva, Kreiger and Barton"
Amy Shaw,11/11/1939,,Mongolia,Ulaanbaatar,Recruiter,"Collier, Predovic and Bechtelar"
Amy Simmons,12/05/1975,,Philippines,Cabadiangan,Structural Engineer,Mante-Turcotte
Amy Simpson,08/07/1984,,Indonesia,Singasari,Health Coach IV,"Stoltenberg, Zieme and Mertz"
Amy Sims,08/17/1953,,Philippines,Liliongan,Information Systems Manager,"Wintheiser, Moen and Jast"
Amy Smith,12/17/1961,,Zimbabwe,Mashava,Assistant Professor,Sanford-Bradtke
Amy Snyder,01/01/1961,,Indonesia,Depok,Computer Systems Analyst IV,"Koelpin, Anderson and Cassin"
Amy Spencer,05/05/1979,,Russia,Russkiy,Programmer II,"Borer, Keebler and Greenfelder"
Amy Stanley,01/25/1923,,United States,Phoenix,Media Manager I,Wehner-Witting
Amy Stephens,12/15/1936,,Sweden,Svenljunga,Statistician II,McGlynn LLC
Amy Stevens,08/21/1940,,Mexico,Emiliano Zapata,Budget/Accounting Analyst I,"Kihn, Kuhn and Walter"
Amy Stewart,10/29/1954,,Russia,Kotlovka,Actuary,Kuhn Group
Amy Stone,06/06/1979,,Philippines,Balagon,Safety Technician III,Rempel-Hirthe
Amy Sullivan,03/11/1948,,Ukraine,Chabany,Operator,"Bins, Schamberger and Ferry"
Amy Taylor,03/14/1952,,Russia,Ladozhskaya,Senior Sales Associate,"Purdy, Kihn and Wuckert"
Amy Thomas,12/14/1931,,Kazakhstan,Shardara,Accounting Assistant III,"Gulgowski, Reichel and Wolff"
Amy Thompson,01/03/1942,,China,Ningmute,Geological Engineer,O'Connell-Thompson
Amy Torres,06/17/1942,,Russia,Safonovo,Nurse Practicioner,"Russel, Watsica and Block"
Amy Tucker,05/12/1971,,Indonesia,Sindangraja,Social Worker,Crooks and Sons
Amy Turner,03/08/1966,,Mexico,Miguel Hidalgo,Research Nurse,"Gusikowski, Hauck and Heidenreich"
Amy Vasquez,08/29/1951,12/16/2004,China,Tianyu,Software Consultant,Brown-Volkman
Amy Wagner,02/14/1968,,Philippines,Silae,Professor,Schinner Group
Amy Walker,04/18/1923,,Azerbaijan,Qobu,Office Assistant I,Lockman Inc
Amy Warren,01/11/1931,,Indonesia,Kawalimukti,Occupational Therapist,Bauch-Veum
Amy Washington,10/22/1942,,Russia,Shebalino,Business Systems Development Analyst,Gaylord-West
Amy Watkins,08/08/1922,,Sweden,LinkÃ¶ping,Professor,Schmidt Inc
Amy Watson,02/22/1918,,Yemen,RajÅ«zah,Accountant III,"Mohr, Reynolds and Roberts"
Amy Webb,02/24/1924,,France,Le Kremlin-BicÃªtre,Research Associate,Steuber LLC
Amy Welch,07/12/1952,,Russia,Yubileyny,Graphic Designer,"Dickinson, Hoppe and Kessler"
Amy Wells,09/01/1983,,Philippines,Suba,Safety Technician I,"Smith, Homenick and Hayes"
Amy West,03/24/1922,,China,Baoâ€™an,Analyst Programmer,"Kuhn, Beier and Kunze"
Amy White,11/14/1972,,Serbia,Knjazevac,Actuary,Moen-Cormier
Amy Williams,12/27/1972,,Russia,Novomoskovsk,Clinical Specialist,Jerde-Doyle
Amy Williamson,01/03/1935,,France,Bourg-en-Bresse,Sales Representative,"Miller, Oberbrunner and Tremblay"
Amy Wilson,11/09/1938,01/25/1999,Iraq,Ramadi,Teacher,Kerluke and Sons
Amy Wood,08/18/1977,,China,Xiangyang,Help Desk Operator,"Hoppe, Lynch and Quitzon"
Amy Woods,09/06/1917,,Philippines,Sergio OsmeÃ±a Sr,Analog Circuit Design manager,Grant-Johns
Amy Wright,04/03/1921,,China,Nanâ€™ao,Quality Engineer,Monahan-Lind
Amy Young,08/27/1921,,Ethiopia,Yirga â€˜Alem,Nuclear Power Engineer,"Heaney, Stehr and Carter"
Andrea Adams,05/19/1952,,Portugal,Achada,Senior Quality Engineer,"Walker, Stamm and Dickens"
Andrea Alexander,05/16/1959,,Indonesia,Cermee,Account Executive,Padberg-Windler
Andrea Allen,06/24/1923,,Poland,WÅ‚oszczowa,Registered Nurse,Powlowski-Leuschke
Andrea Alvarez,01/11/1921,,Mexico,Arroyo Seco,Mechanical Systems Engineer,Hagenes LLC
Andrea Armstrong,11/15/1945,,Colombia,Barranco de Loba,Operator,"Bayer, Schultz and Renner"
Andrea Arnold,06/26/1982,,Honduras,Dulce Nombre de CulmÃ_,Associate Professor,Bahringer-Robel
Andrea Austin,10/11/1944,,China,Lingbei,Database Administrator IV,Schmidt-Greenholt
Andrea Bailey,11/27/1950,,Indonesia,Karang Kulon,Chief Design Engineer,"Grady, Padberg and Spinka"
Andrea Baker,02/27/1962,,Finland,Joutsa,Associate Professor,Toy Group
Andrea Banks,01/24/1971,,China,Yaâ€™erya,Structural Engineer,"Muller, Kub and Hackett"
Andrea Barnes,02/21/1922,,Suriname,Nieuw Nickerie,Food Chemist,Tremblay-Runolfsson
Andrea Bell,11/01/1977,,Sweden,LinkÃ¶ping,Librarian,"Ondricka, Dare and Conroy"
Andrea Bennett,05/03/1981,,China,Yaozhuang,Design Engineer,Rath Inc
Andrea Berry,07/01/1927,,Brazil,Horizonte,Statistician III,Zemlak-Johnston
Andrea Bishop,02/13/1949,,Ecuador,Playas,Occupational Therapist,Graham-Dickinson
Andrea Black,01/02/1920,,Russia,Beloostrov,Environmental Specialist,Schowalter Inc
Andrea Bowman,01/23/1969,,China,Xiangxiang,Assistant Professor,O'Hara-Dickens
Andrea Boyd,11/06/1986,,United States,San Diego,Staff Scientist,Kuhic Inc
Andrea Bradley,02/21/1977,,Philippines,Sabang,Nurse Practicioner,Gerhold-Sporer
Andrea Brooks,01/02/1917,,Philippines,Aurora,Human Resources Manager,Graham-Franecki
Andrea Brown,07/17/1978,,Indonesia,Kedungdowo,Assistant Media Planner,Konopelski Inc
Andrea Bryant,01/16/1938,07/08/2013,Czech Republic,KarvinÃ¡,Food Chemist,Kerluke-Lebsack
Andrea Burke,03/06/1984,,Russia,Stupino,Nurse,"Breitenberg, Bode and Collins"
Andrea Burns,03/21/1942,,Indonesia,Taraban Timur,Nurse,"Marks, Lesch and Bailey"
Andrea Burton,10/19/1949,,China,Beiqiao,Junior Executive,"Schumm, Mante and Hodkiewicz"
Andrea Campbell,10/09/1944,,France,Rungis,Payment Adjustment Coordinator,"Thiel, McClure and Moore"
Andrea Carpenter,01/21/1988,,South Africa,Jansenville,Senior Editor,"Cummerata, Macejkovic and Dach"
Andrea Carr,01/22/1985,,Russia,Mullovka,Systems Administrator IV,Beahan and Sons
Andrea Carroll,05/07/1920,,France,Chantilly,Clinical Specialist,"Gulgowski, Gerlach and Mosciski"
Andrea Carter,04/26/1918,,China,Anning,Budget/Accounting Analyst III,McKenzie Group
Andrea Castillo,10/31/1938,,Netherlands,Oss,Senior Developer,Paucek-Koch
Andrea Chavez,10/20/1929,,France,CarriÃ¨res-sur-Seine,Health Coach III,Tromp LLC
Andrea Clark,07/16/1976,,China,Jiuxian,Social Worker,Kirlin Inc
Andrea Cole,12/26/1928,,Macedonia,Pirok,Teacher,Prohaska-Kub
Andrea Coleman,06/07/1931,,China,Ningyuan,Senior Quality Engineer,Schmeler Inc
Andrea Collins,03/03/1936,,Thailand,Ban Ratsada,Associate Professor,Schowalter Inc
Andrea Cook,06/06/1951,,China,Dianbu,Accounting Assistant IV,Skiles Inc
Andrea Cooper,05/17/1922,,Panama,El Coco,Software Engineer IV,Rohan-Considine
Andrea Cox,01/05/1933,,China,Jiaze,Director of Sales,"Rippin, Rodriguez and Lemke"
Andrea Cunningham,03/22/1971,07/12/2005,Poland,GorzÃ_w Å_lÄ…ski,Food Chemist,Quitzon-Stroman
Andrea Davis,08/29/1933,,Poland,WÄ™grzce Wielkie,Engineer III,Tillman Group
Andrea Day,10/05/1926,,Brazil,Medina,Financial Advisor,McKenzie and Sons
Andrea Dean,12/08/1931,,Syria,As SawdÄÅ,Safety Technician III,Hoppe Group
Andrea Diaz,08/07/1923,03/04/2014,Sweden,Ã„ngelholm,Assistant Media Planner,"Towne, Rohan and Thiel"
Andrea Dixon,02/05/1927,,Thailand,Pong,Web Designer I,Skiles-Nader
Andrea Duncan,06/05/1974,,Denmark,KÃ¸benhavn,Automation Specialist I,Bins-Hickle
Andrea Dunn,03/22/1921,,Poland,Parchowo,Systems Administrator III,"Bernhard, Hoeger and Bruen"
Andrea Edwards,06/05/1918,,Germany,Braunschweig,Occupational Therapist,"Vandervort, Franecki and Emard"
Andrea Elliott,11/22/1950,,Sweden,StrÃ_ngnÃ_s,Sales Representative,"Bogisich, Thiel and Bernhard"
Andrea Ellis,01/14/1931,07/20/1999,Greece,SkotoÃºssa,Sales Representative,Crona Inc
Andrea Ferguson,08/18/1973,,France,Paris 19,Accountant I,Rutherford-Gorczany
Andrea Fernandez,05/28/1923,,Poland,BiaÅ‚a Piska,Research Nurse,Lindgren Group
Andrea Fisher,05/22/1958,,Dominican Republic,Bayaguana,Tax Accountant,Gutkowski-Abshire
Andrea Flores,03/31/1959,,Kazakhstan,Ridder,Legal Assistant,Littel-Deckow
Andrea Foster,04/25/1917,,Bosnia and Herzegovina,Sokolac,Web Designer II,Veum-Konopelski
Andrea Fowler,05/14/1942,11/26/2010,Russia,Primorka,Software Test Engineer I,"Tremblay, Quitzon and Stanton"
Andrea Fox,08/06/1962,,Brazil,Diamantino,Health Coach I,Abernathy LLC
Andrea Franklin,06/30/1988,,China,Xiaochi,Account Representative I,"Schinner, Herman and Stamm"
Andrea Frazier,08/25/1916,,Mongolia,Suugaant,Paralegal,"Dooley, Moore and Cremin"
Andrea Freeman,12/14/1967,,China,Dongming,Assistant Manager,Gislason-Watsica
Andrea Fuller,08/31/1944,,Philippines,Hagonoy,Financial Advisor,Kreiger LLC
Andrea Garcia,06/29/1947,,Botswana,Mathakola,Human Resources Assistant II,Collier-Schuppe
Andrea Gardner,07/01/1957,10/06/2004,Brunei,Kuala Belait,Civil Engineer,Kulas-Labadie
Andrea Garrett,03/15/1955,,Philippines,Damawato,Analyst Programmer,Leuschke-Borer
Andrea George,09/01/1938,,Libya,MiÅŸrÄÅtah,Software Engineer I,Block Group
Andrea Gibson,06/17/1970,,China,Yushu,Human Resources Manager,"Halvorson, Macejkovic and Pacocha"
Andrea Gilbert,07/23/1933,05/08/2003,Finland,Kiuruvesi,Assistant Media Planner,"Cronin, Feil and Frami"
Andrea Gonzales,04/20/1945,,Greece,PanÃ_rama,Assistant Media Planner,Stehr LLC
Andrea Gonzalez,12/20/1939,,Russia,Gornyye Klyuchi,Associate Professor,Ledner-Shields
Andrea Gordon,02/09/1943,,Nigeria,Argungu,Dental Hygienist,Pagac-Brekke
Andrea Graham,12/30/1966,07/20/2009,Russia,Znamenskoye,Senior Financial Analyst,Abernathy Inc
Andrea Grant,03/10/1926,,Greece,LoutrÃ¡ki,Desktop Support Technician,Miller-Reichert
Andrea Gray,09/09/1922,,Argentina,Bernardo de Irigoyen,Dental Hygienist,Berge-D'Amore
Andrea Green,06/13/1941,,Portugal,Passal,Assistant Media Planner,Senger-Pfannerstill
Andrea Greene,02/07/1927,,Poland,WohyÅ„,Junior Executive,Swift Group
Andrea Griffin,11/07/1921,,Mexico,Morelos,Research Assistant III,Reichel Inc
Andrea Gutierrez,04/12/1969,,Indonesia,Sambirobyong,Assistant Professor,Mueller-Kozey
Andrea Hall,09/06/1946,,Poland,RyduÅ‚towy,Operator,"Mertz, Kohler and Schiller"
Andrea Hamilton,08/05/1927,,China,Zougang,Nurse Practicioner,Leuschke-Kilback
Andrea Hansen,06/21/1924,12/25/2012,Indonesia,Krajan Kinanti,Web Designer IV,Thompson LLC
Andrea Hanson,12/15/1975,,Sweden,VÃ_rnamo,Marketing Manager,"Brakus, Mitchell and Harris"
Andrea Harper,02/13/1954,,Yemen,Al á¸¨usayn,Software Consultant,Tromp Inc
Andrea Harris,10/21/1982,,Poland,MrzeÅ_yno,Environmental Specialist,Johns Inc
Andrea Harrison,10/04/1931,12/25/2008,Colombia,MarÃ_a la Baja,Geologist IV,"Boehm, Hauck and Mante"
Andrea Hart,05/09/1964,,Japan,Inuotose,Systems Administrator I,Weissnat-Padberg
Andrea Harvey,02/14/1965,,France,Rungis,Dental Hygienist,"Hand, Homenick and Gutmann"
Andrea Hawkins,08/20/1963,,Nigeria,Ringim,General Manager,Beatty Group
Andrea Hayes,09/23/1948,,Indonesia,Gisiliba,Paralegal,Hamill and Sons
Andrea Henry,01/11/1964,,Afghanistan,KhÅ«gyÄÅá_‰Ä«,Associate Professor,O'Keefe LLC
Andrea Hicks,11/21/1951,05/19/2002,Sweden,GÃ¶teborg,General Manager,Herman Inc
Andrea Hill,10/28/1956,,Russia,Talitsy,Accounting Assistant III,"Hoeger, Dickinson and Langworth"
Andrea Holmes,03/17/1967,,Ukraine,Zdolbuniv,Assistant Media Planner,"Okuneva, Mayer and Schumm"
Andrea Howard,03/29/1980,,Nigeria,Zungeru,Research Nurse,Little-Towne
Andrea Howell,08/09/1971,,Philippines,Burgos,Geological Engineer,Cronin Inc
Andrea Hudson,05/03/1955,01/26/2004,China,Shuikou,VP Accounting,Wolff and Sons
Andrea Hughes,10/28/1921,,France,Vichy,Staff Scientist,"Powlowski, King and Russel"
Andrea Hunt,01/27/1917,,Spain,Granada,Teacher,"Kerluke, Walker and Kihn"
Andrea Jackson,02/25/1921,,United States,Baton Rouge,Accountant III,Schimmel Group
Andrea Jacobs,11/30/1918,,China,Zhouxi,Financial Analyst,Kuhlman-Marks
Andrea James,12/07/1961,,Venezuela,Valle de La Pascua,Sales Associate,Aufderhar Inc
Andrea Jenkins,12/04/1945,,Ukraine,Kamieniec Podolski,VP Accounting,Kuhlman-Gutmann
Andrea Johnson,07/31/1942,,Indonesia,Saribudolok,Systems Administrator II,Prohaska-Quigley
Andrea Johnston,05/02/1988,,Thailand,Ban Phaeo,Quality Engineer,Walker-Streich
Andrea Jones,09/25/1948,03/11/1994,Canada,Macamic,Budget/Accounting Analyst III,Hartmann Inc
Andrea Jordan,08/11/1964,,Peru,Condoroma,General Manager,Breitenberg-Tromp
Andrea Kelley,12/06/1942,08/31/2011,Sweden,KÃ¶ping,VP Quality Control,Schaden LLC
Andrea Kelly,11/29/1945,,Poland,WÄ…brzeÅºno,Desktop Support Technician,"Schuster, Dooley and Funk"
Andrea Kim,04/02/1930,,Serbia,PoÅ_arevac,Nurse Practicioner,Predovic LLC
Andrea King,11/16/1979,,Indonesia,Batubantar,Human Resources Manager,Ziemann-Smith
Andrea Larson,11/10/1933,,Indonesia,Madette,Nuclear Power Engineer,Bartoletti-Dare
Andrea Lawrence,12/16/1976,02/03/2001,United States,Denver,Assistant Professor,"Gibson, Brown and Schamberger"
Andrea Lawson,01/12/1942,,Philippines,Kawayan,Structural Analysis Engineer,Walker Group
Andrea Lee,11/10/1959,,China,Pingpu,Systems Administrator IV,Kemmer LLC
Andrea Lewis,09/05/1942,,Azerbaijan,AÄŸdaÅŸ,Statistician IV,Bernhard-Frami
Andrea Little,01/08/1965,,China,Qufu,Automation Specialist I,Harvey-Zboncak
Andrea Long,03/08/1951,,Indonesia,Muruy,Accountant I,Hilll-Kessler
Andrea Lopez,10/25/1952,,Ukraine,Sutysky,Internal Auditor,"Willms, Blanda and Haley"
Andrea Lynch,04/01/1935,,Peru,Tomepampa,Web Developer III,Feil-Davis
Andrea Marshall,11/15/1965,,Russia,Strelka,Office Assistant II,"Kihn, VonRueden and Aufderhar"
Andrea Martin,08/27/1985,,Philippines,PaÃ±gobilian,Account Coordinator,Moore-Kihn
Andrea Martinez,01/12/1969,,China,Shangying,Physical Therapy Assistant,"Mraz, Feeney and Boehm"
Andrea Matthews,09/09/1944,,Dominica,Calibishie,Occupational Therapist,Harris-Emard
Andrea Mccoy,05/22/1929,,Philippines,Maagnas,Payment Adjustment Coordinator,Crona-Witting
Andrea Mcdonald,11/18/1935,,China,Shuangshi,VP Accounting,"Casper, Ebert and Johnson"
Andrea Medina,09/09/1936,,China,Jomda,Administrative Assistant I,Turner-Robel
Andrea Mendoza,10/12/1980,,Greece,VrakhÃ¡ti,Analog Circuit Design manager,Bergnaum-Smitham
Andrea Meyer,05/28/1959,,Poland,WrocÅ‚aw,Structural Analysis Engineer,Gislason-Reichel
Andrea Miller,09/30/1970,,South Africa,Uitenhage,Marketing Manager,West Inc
Andrea Mitchell,11/07/1931,,Mongolia,Tseel,Account Representative III,Becker LLC
Andrea Montgomery,08/21/1969,,Peru,Sausa,Structural Engineer,"Farrell, Hane and Grant"
Andrea Morales,09/04/1988,10/28/2000,Albania,Peza e Madhe,Staff Accountant IV,Reichert-Abernathy
Andrea Morgan,08/09/1965,,China,Huaxian,Web Developer III,"Ondricka, Jacobs and Bogisich"
Andrea Morris,03/26/1970,,France,Le Mans,Operator,Dach Inc
Andrea Murphy,03/30/1946,,China,Yuntan,Computer Systems Analyst III,"Monahan, Blanda and Haley"
Andrea Murray,08/24/1981,,Mongolia,Tahilt,Staff Accountant IV,"Grant, Feil and Armstrong"
Andrea Myers,08/08/1956,,Nigeria,Dankalwa,Budget/Accounting Analyst I,Monahan LLC
Andrea Nelson,02/27/1987,05/24/1994,Peru,Limatambo,Actuary,Simonis and Sons
Andrea Nguyen,08/08/1941,,Peru,Sepahua,Product Engineer,"Hermann, Schimmel and Dicki"
Andrea Nichols,05/24/1958,,Palestinian Territory,YÄÅsÅ«f,Senior Editor,Terry-Tromp
Andrea Oliver,07/19/1919,02/10/1995,Indonesia,Ciparakan,Assistant Manager,"Pagac, Mueller and Hartmann"
Andrea Olson,11/02/1960,,Sweden,Kungshamn,Account Executive,West and Sons
Andrea Ortiz,02/24/1931,,Australia,Sydney,Senior Editor,Fritsch-Bailey
Andrea Owens,11/09/1974,,Sweden,Stockholm,VP Product Management,O'Connell-Moore
Andrea Palmer,10/22/1932,,Czech Republic,Å_irovnice,Nurse Practicioner,Maggio-Russel
Andrea Parker,09/30/1974,01/06/1996,China,Huanghai,Quality Control Specialist,"Eichmann, Fahey and Treutel"
Andrea Patterson,02/18/1922,09/28/1991,Brazil,IperÃ_,Software Test Engineer IV,Hermann Group
Andrea Payne,05/28/1935,,Indonesia,Limboto,Nuclear Power Engineer,Langworth LLC
Andrea Perkins,04/30/1961,,China,Taiping,Accounting Assistant I,Wuckert Inc
Andrea Perry,07/22/1934,,Brazil,Penha,Speech Pathologist,"Hills, Orn and Corkery"
